Player,Pos,Squad,Age,Min,Goals,SoT%,G/Sh,ShoDist,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasCrs,TI,SCA,GCA,Tkl,TklWon,TklDri%,Blocks,Int,Clr,Err,Touches,TouAtt3rd,TouAttPen,CPA,Crs,PKwon,PKcon,Recov,AerWon%,Rankings
Marc Cucurella,DF,Chelsea,24,1345,-0.7910146123601988,0.0,-0.8589644165131605,0.09962498231605771,0.8340000000000001,0.924,0.871,0.515,-0.09945962851923958,-0.7140915804267803,-0.18184330272073362,-0.5624314575045078,0.23883268741061783,0.09508012186021753,0.9390725674342447,-0.7429351994309983,-0.4504542467004112,0.552123148041058,0.02751081952160822,0.5710000000000001,0.028284064840528696,-0.5139863443062443,0.1680291369758785,-0.37863844029377736,0.005543369865486939,-0.07099135904528704,-0.823572855187471,-0.6390646601100397,0.09508012186021753,-0.2776673809526785,-0.2814031501226062,-0.19419877467787627,0.522,5
Moanes Dabbur,FW,Hoffenheim,30,541,3.3862772346005516,0.857,2.4085010444728736,-0.2941747410704229,0.7040000000000001,0.752,0.7559999999999999,0.5,-0.7154074347719397,1.9311192747186887,-0.08032398081910613,1.115508992486723,-0.6788143132341401,-0.2508291050488278,-0.5663474541492592,2.981336722964007,1.1384089317902633,0.3252854614290518,0.2738834493865449,0.75,-0.2712189587524,0.010096404838416178,-1.0175467200744905,-0.37863844029377736,0.5157837998188165,1.5414801250401604,2.5180853362687694,0.5494945494207937,-0.2508291050488278,-0.2776673809526785,-0.2814031501226062,0.596957380520377,0.14300000000000002,71
Colin Dagba,DF,Strasbourg,24,560,-0.7910146123601988,0.0,-0.8589644165131605,0.043367878975131766,0.818,0.8959999999999999,0.8079999999999999,0.35700000000000004,-0.7154074347719397,2.364042959715758,0.5646458232933329,3.048939355597672,5.5474615525245,2.305629528648593,3.52648068413091,1.5459969906606998,1.0056153915973693,2.281644432636797,2.3946566519249903,0.818,3.1747627824003954,2.743505624430364,0.732252380013924,-0.37863844029377736,1.7393469162664776,2.1929668510294205,0.5123715505839201,0.4580920262966293,2.305629528648593,-0.2776673809526785,-0.2814031501226062,1.149297345053761,0.33299999999999996,98
Patson Daka,FW,Leicester City,24,706,1.1295929422056077,0.579,0.5932424550361882,-0.42544131553258296,0.662,0.7440000000000001,0.6890000000000001,0.25,2.7146527501894355,0.8605966946672844,-1.0053371583857826,-0.01152379739362272,-0.1106465438901744,-0.4722641370478842,-0.47607223078745703,0.3595622736518973,2.1598045479931627,-0.2379279658994417,-0.15625970808034081,0.25,0.20438523553172663,-0.5307196284945859,-0.35374807143890546,-0.37863844029377736,-0.5693838611615976,0.571728692945166,1.6601789638931286,0.77630863323011,-0.4722641370478842,3.2866103120991643,-0.2814031501226062,-0.7482414045991114,0.379,69
Diogo Dalot,DF,Manchester Utd,23,1268,-0.7910146123601988,0.28600000000000003,-0.8589644165131605,0.47467233792222974,0.774,0.875,0.818,0.5529999999999999,-0.011798044348599256,0.21049641484510692,-0.10848191120103924,0.3098217461228151,1.3896003821268998,-0.08513575561542884,1.1754813262372537,-0.28280140484229466,-0.5823379221093794,-0.016966729734828934,0.477921743953469,0.679,-0.155565690405657,0.5163084513223138,0.004829382843716035,0.5706675786719879,-0.2261628199197749,-0.22318470480621888,-0.4093924265586023,0.20353387660691213,-0.08513575561542884,-0.2776673809526785,-0.2814031501226062,-0.1265782385165883,0.6859999999999999,10
Danilo,DF,Juventus,31,1813,-0.2924123202022803,0.133,0.3209536666206853,-0.5754602577750519,0.8370000000000001,0.873,0.9159999999999999,0.637,-0.36390766837969496,-0.7927887250815924,-0.2362886270185101,-0.8322117929029758,-0.4235257274921656,-0.5928883523597006,-0.11610509210774325,-0.9106562827836564,-0.7726535487082532,-0.37257730617732404,-0.3017245541151856,0.688,-0.7767634439415548,-0.21063119511355494,0.10033735451615575,0.09560316086002857,-0.7520059531938701,-1.0224574063914003,-0.7132483912376781,-0.7099890369358006,-0.5928883523597006,-0.2776673809526785,-0.2814031501226062,-0.9162300647169088,0.5920000000000001,8
Arnaut Danjuma,FW,Villarreal,26,479,1.0961794496070372,0.364,-0.042098051266651906,-0.08789869548702832,0.737,0.721,0.769,0.667,-0.7154074347719397,1.0272535749328306,-0.8850783740468421,0.3276504370166528,1.769042586711245,0.23001408642203164,-0.37187951675160147,1.2847299713221951,-0.962639546604153,-0.4531686421629178,0.21107456228055307,0.5,-1.5250522715402766,-1.2848978955723134,-0.7761293984683919,6.442322075340941,-0.27101763091349995,1.391888852407756,2.6940745450134225,3.585980635425642,0.23001408642203164,-0.2776673809526785,-0.2814031501226062,-0.5102001635452759,0.0,18
Dante,DF,Nice,39,1980,-0.5627403811272932,0.273,-0.042098051266651906,-0.706726832237212,0.9,0.9420000000000001,0.9520000000000001,0.679,-0.5544809003100358,-1.060565593689459,-0.6978433919038508,-0.9874260400215973,-0.6788143132341401,-0.7822237518764553,-0.5552050926643934,-1.2235812872079797,-0.8756585834260554,-0.7628502304595443,-0.6765096117709586,0.52,-0.37395730050326104,-0.22339499175079117,0.08597172864178651,0.05560399551018736,-0.7298963745414755,-1.2812046192195752,-0.8871303039451609,-0.7099890369358006,-0.7822237518764553,-0.2776673809526785,-0.2814031501226062,-0.7194189671919826,0.6729999999999999,115
Sergi Darder,MF,Espanyol,29,1773,-0.28116353752528267,0.25,0.04866487820518246,1.2997765202558087,0.705,0.84,0.8140000000000001,0.46299999999999997,-0.5356925231901181,0.17822242456944715,-0.3083676835436046,-0.07040720280991201,-0.3307502365654432,0.5318832565334772,-0.5096615542093329,-0.013213314451668233,-0.47695904154878577,-0.5343436758190959,-0.5489350616859872,0.519,-0.9435225423966068,-0.7237921305065882,-0.7909855182680013,-0.37863844029377736,-1.0572152579001561,-0.5357715598210023,-0.8057784296529977,-0.5178343217020392,0.5318832565334772,-0.2776673809526785,-0.2814031501226062,-0.8222043358957439,0.375,85
Matteo Darmian,DF,Inter,33,993,-0.3358454503852209,0.33299999999999996,2.1362122560573713,-0.5004507866538175,0.8290000000000001,0.91,0.843,0.623,0.43976309659205987,0.16368040160463668,-0.49699599803539246,0.21721577623163918,1.309882912735164,0.043098883456631,1.2505419432620903,0.06456821990993322,0.2861022570886557,0.8672738440361822,0.561275876142784,0.833,0.5925749680131452,-0.12782766083272054,-0.06752662982989419,-0.37863844029377736,-0.07400165618353437,-0.14231778372878445,-0.3869542667481573,-0.462962830209909,0.043098883456631,-0.2776673809526785,-0.2814031501226062,-0.32095536188731694,0.35700000000000004,23
Jonathan David,FW,Lille,23,1759,2.2924394718318633,0.44299999999999995,0.5932424550361882,-0.42544131553258296,0.821,0.862,0.833,0.938,0.04540271905705028,-0.21700631639925289,-1.006437189401432,-0.6064318724393466,-0.5033971421330601,-0.7309974395839496,-0.5524115841852429,-0.3829117003174918,-0.061874779547742766,-1.0779403616727274,-0.9552699459150202,0.5,-1.0083075746827193,-1.0777871527687053,-0.8030225700772459,-0.37863844029377736,-1.3903594118695441,-0.5523299798744197,0.44551616922837356,0.2429366741151017,-0.7309974395839496,-0.2776673809526785,-0.2814031501226062,-1.4000821950075968,0.15,56
Alphonso Davies,DF,Bayern Munich,22,1398,-0.7910146123601988,0.375,-0.8589644165131605,0.45591997014192154,0.878,0.9259999999999999,0.909,0.667,-0.12281101173196714,0.28236511652498714,0.21541956586721228,-0.043456048909391386,-0.6788143132341401,-0.6226226777988304,0.7224364171689094,0.04831939770773973,-0.32204155169593224,-0.3350050436703572,-0.13522604675948302,0.5710000000000001,-0.4575898903670786,-0.2525521530574765,-0.6518488301511796,1.9584431669945137,-0.058203710968315885,0.013756212953498355,-0.17600987396349088,0.5474945111076953,-0.6226226777988304,-0.2776673809526785,-0.2814031501226062,0.3121147389803129,0.429,1
Ben Davies,DF,Tottenham,29,1441,-0.1636961143155727,0.4,0.9562941729235254,-0.20041290216887953,0.8440000000000001,0.912,0.903,0.556,-0.45006291993399117,-0.5349044037431889,-0.2858791176458555,-0.938435336735532,-0.4004475920982346,-0.5201893401788399,-0.3537069677968585,-0.825601274615337,-0.3650604102660781,-0.8834623761040633,-0.9353055830251529,0.5329999999999999,-0.7624675442720248,-0.4972789470879472,0.11861103975119437,-0.37863844029377736,-0.5527688594892541,-0.9167214523978089,-0.777336259664743,-0.6532467229689234,-0.5201893401788399,-0.2776673809526785,-0.2814031501226062,-1.046103457951513,0.529,14
