Player,Pos,Squad,Age,Min,Goals,SoT%,G/Sh,ShoDist,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasCrs,TI,SCA,GCA,Tkl,TklWon,TklDri%,Blocks,Int,Clr,Err,Touches,TouAtt3rd,TouAttPen,CPA,Crs,PKwon,PKcon,Recov,AerWon%
Gaël Kakuta,MFFW,Lens,30,1673,-0.008491658011730232,0.359,-0.39279861916363545,1.2679669978865364,0.727,0.818,0.755,0.474,-0.04071109498083689,0.045465830169180425,0.12843315777202563,0.032599144679826726,0.29330194607942617,0.22781809944985637,-0.4975976083260815,0.006653602603215811,-0.3320382918564068,-0.3056853393867899,-0.25707192226405784,0.385,-0.6669459054004669,-0.7632922282963381,-0.7918575950073018,-0.30909920776056493,-0.40651156436996916,0.04440176483859873,-0.17005262783144304,-0.18074729507805087,0.22781809944985637,-0.24665236087977901,-0.2858108337453025,-0.6534788203195097,0.22699999999999998
Sasa Kalajdzic,FW,Stuttgart,24,1221,1.7506776101750143,0.361,0.6722211305744302,-0.8216953424499337,0.6990000000000001,0.7929999999999999,0.679,0.541,-0.11916930128020893,0.7846459312654148,-0.5873119540510213,-0.2879189873797801,-0.4383089499997183,-0.49050900871200254,-0.4422339191537233,0.4365037584790732,0.09693883741898743,-0.8695536556731297,-0.8569201869510447,0.2,-0.7111228106751942,-0.7640506149616884,-0.5040137238974063,-0.30909920776056493,-0.3561768391781394,0.15964333087954,1.2944542993856374,0.1947035085772827,-0.49050900871200254,-0.24665236087977901,-0.2858108337453025,-0.6707903380756377,0.59
Arnaud Kalimuendo,FW,Lens,20,2148,0.9028322868788642,0.483,1.027227713820452,-0.04282119741543096,0.8240000000000001,0.838,0.887,0.69,-0.653369332659248,-0.33759504811416935,-1.0648138464097265,-0.40232222768942055,-0.4245590181216857,-0.5675212671245639,-0.4618354487699143,-0.4142739678466867,-0.4157253141253503,-1.0651977482290764,-0.9718139716087124,0.364,-1.1465302042180494,-1.0423332782057253,-0.896325574298103,-0.30909920776056493,-1.0161579326414845,-0.2572519324806573,0.17958673874213318,-0.13294787048446022,-0.5675212671245639,-0.24665236087977901,-0.2858108337453025,-1.1723808052610358,0.17
Yayah Kallon,FWMF,Genoa,20,636,-0.6440255514819618,0.091,-0.9844762579070052,0.20413889735160587,0.657,0.722,0.672,0.43799999999999994,1.3977572029187606,1.960137957647469,-0.6405308435161354,0.48471353557068075,0.26309472317207,2.167379413598404,-0.4975976083260815,2.895397815181003,3.6504016394671392,1.2965437358096643,1.2514362943950186,0.273,1.6708915883149333,0.6681930947386338,-0.611344324478729,-0.30909920776056493,0.8035276456165477,2.3040863922595833,2.8587720551168037,5.90846339833825,2.167379413598404,5.659395074374988,-0.2858108337453025,1.798576498164733,0.22699999999999998
Pierre Kalulu,DF,Milan,21,1944,-0.47310730884826563,0.4,1.3822342970664738,0.8880283905526327,0.88,0.922,0.914,0.757,-0.2219816089067304,-0.7866291926025413,-0.4339625914226218,-0.547255843043519,-0.06475057683472626,-0.3659296983923843,-0.1688329849692381,-0.6941595570865856,-0.32138259374175865,0.10351050900151805,-0.0760176913198782,0.769,-0.11534320116921545,0.07514346483195816,-0.09384199759112234,-0.30909920776056493,-0.36044713056960287,-0.7308362776186408,-0.7006559600174082,-0.5776019977979587,-0.3659296983923843,-0.24665236087977901,-0.2858108337453025,-0.36905229613432217,0.44799999999999995
Daichi Kamada,MFFW,Eint Frankfurt,25,2139,-0.11588099023293023,0.19399999999999998,0.31721454732840826,-0.13780584924890688,0.787,0.8370000000000001,0.8340000000000001,0.607,-0.08705950175832722,-0.09916339182847923,-0.34614055269338734,-0.2671895176757616,-0.6047447328173833,-0.44462962187379723,-0.45593895581420185,-0.1122783083252655,-0.12937734187103178,-0.6157100807941315,-0.4842453518685588,0.233,-0.724915403200235,-0.8100875168991907,-0.7934331254552834,-0.30909920776056493,-0.764148658509107,-0.3702495974526573,-0.12285808091111938,-0.12165233742555417,-0.44462962187379723,-0.24665236087977901,-0.2858108337453025,-0.6480078189067379,0.2
Boubacar Kamara,MFDF,Marseille,22,2778,-0.5722620388081161,0.136,-0.39279861916363545,0.5080897832187291,0.9079999999999999,0.948,0.9329999999999999,0.765,-0.653369332659248,-0.6746287580405423,0.13406543288444048,-0.6907595227406744,-0.530221683512291,-0.68821295832538,-0.3903080400541626,-0.7198313781605908,-0.7077112167573943,-0.4068320730251209,-0.30458141483321693,0.462,-0.7684926986588226,-0.40758173850955237,-0.43728681629685584,-0.30909920776056493,-0.3967283166657101,-0.6504841856984516,-0.6495917756471014,-0.5857234310620377,-0.68821295832538,0.04309202116449984,-0.012574274385338858,-0.6946356148545306,0.5479999999999999
Hassane Kamara,MFDF,Nice,28,544,-0.6440255514819618,0.083,-0.9844762579070052,0.05216345441804495,0.8079999999999999,0.9009999999999999,0.868,0.371,-0.653369332659248,0.3624163037594783,-0.423044837600193,2.6052746463498475,4.621096691031394,3.3159883340696847,1.100876259294589,0.5142027065492779,0.7683341529455305,3.343911804078216,2.5946520610649273,0.7,2.135232772210565,2.999596362927978,0.2935908837187159,-0.30909920776056493,2.6840615579663236,2.621434661411316,1.129187980337505,-0.012554920248839927,3.3159883340696847,-0.24665236087977901,-0.2858108337453025,1.594845336020402,0.222
Hassane Kamara,DF,Watford,28,1623,-0.3983582215892406,0.2,1.3822342970664738,1.6099117444870497,0.703,0.845,0.777,0.33799999999999997,-0.653369332659248,-0.5434457678062898,-0.4646122973451341,-0.4709199231539861,-0.10129291717932931,-0.2273929376760778,1.3634308009972473,-0.5619785905963282,-0.8173015922341778,0.6020362669111382,0.1765339628824736,0.6,-0.050542602050508166,2.1852702682247505,0.36799182158658217,-0.30909920776056493,-0.10777464177176956,-0.5403171421497973,-0.7173573724273943,-0.4218994286804558,-0.2273929376760778,-0.24665236087977901,0.6495572031024843,0.08234782709702829,0.759
Kevin Kampl,MF,RB Leipzig,31,1899,-0.6440255514819618,0.25,-0.9844762579070052,0.6600652261522907,0.9109999999999999,0.9440000000000001,0.934,0.7709999999999999,-0.40803034284738965,-0.4458846533396519,0.6080623168188363,-0.10611406178197051,-0.5718738887298507,-0.7008015517997382,-0.46685458029435334,-0.44662901832823454,-0.44322849384528384,-0.31454439321278765,-0.2229166722118186,0.21600000000000003,-0.6201506882152826,-0.17756789377297758,-0.6065849896814747,-0.30909920776056493,-0.05014403782769889,-0.36425066639197234,-0.6914879600031503,-0.33776351283821116,-0.7008015517997382,-0.24665236087977901,0.3803741424719865,-0.32073578138458886,0.385
Jean-Armel Kana-Biyik,DF,Metz,32,664,-0.6440255514819618,0.0,-0.9844762579070052,-0.536741386949506,0.885,0.905,0.953,0.667,-0.653369332659248,-1.000154726964564,-1.1859287431064607,-0.985223064019211,-0.6853148947047335,-0.8143902247084424,-0.3726541019634627,-0.945865309751704,-0.8173015922341778,1.2692675258730837,2.4484297704508577,0.41700000000000004,2.3413504295948964,4.366642557684833,2.6619547254582154,4.343702681402443,1.371615007535239,-1.0206726352079802,-0.7802820082739218,-0.6282788657395838,-0.8143902247084424,-0.24665236087977901,-0.2858108337453025,1.4799977006773697,0.583
Harry Kane,FW,Tottenham,28,3232,0.32233942332964427,0.389,0.19887901957973436,0.01416959368465405,0.6920000000000001,0.772,0.745,0.635,0.06738985925399309,-0.37634002933407174,-0.7010515925844485,-0.39637779341793855,-0.3920390068570444,-0.5057159934049046,-0.4605200386436652,-0.34538265299599197,0.09326150895812998,-1.0929782420337397,-1.06358443445869,0.32,-1.1070233708413713,-1.1422862095969064,-0.6840256280261913,-0.30909920776056493,-1.130562437896688,-0.5912001676620044,-0.09571407754282261,-0.18934694420162781,-0.5057159934049046,-0.24665236087977901,-0.2858108337453025,-1.180858669955656,0.473
Lee Kangin,MFFW,Mallorca,21,1411,-0.361447184071695,0.371,-0.6294696746609834,1.4959301622868784,0.721,0.898,0.742,0.36700000000000005,0.20512586811826405,0.5338047562987434,-0.43086436333546685,-0.0032065962259641367,-0.2883598111466991,0.1983985033427919,-0.4562219809467393,0.5277048768107667,-0.13405103725950546,-0.7630529948468062,-0.7454048261983558,0.231,-0.5537677181395566,-0.5843193482708489,-0.7219956450272051,-0.30909920776056493,-0.24205013945733073,0.3591782930402851,-0.2876227584793599,-0.1814317217406315,0.1983985033427919,-0.24665236087977901,-0.2858108337453025,-0.45711029222414934,0.22399999999999998
N'Golo Kanté,MF,Chelsea,31,1773,-0.26922006509740976,0.529,0.43555007507708215,0.33711740991847267,0.871,0.905,0.883,0.784,0.39772765922505887,-0.021870226530002874,0.6062906782086654,0.4459842415519961,-0.6853148947047335,-0.5305146411447269,-0.4975976083260815,0.21142016046897946,1.0715098538005339,0.1980671627618055,0.15428524498456106,0.5,-0.12615684378512618,0.12126422809650979,-0.6371076765291148,-0.30909920776056493,0.03412278802299057,0.27555648525309445,-0.38194967042217515,-0.228214576283669,-0.5305146411447269,-0.24665236087977901,-0.2858108337453025,-0.2334947231474035,0.486
Atakan Karazor,MF,Stuttgart,25,1898,-0.6440255514819618,0.222,-0.9844762579070052,1.6858994659538302,0.841,0.878,0.9,0.688,-0.40790108099817374,-0.33624235119343954,-0.1970820394874972,-0.571824140011411,-0.5718141200228039,-0.7480952550484755,-0.4975976083260815,-0.4661099388068374,-0.5766993295304075,-0.18414197570801621,-0.22241122709520111,0.444,0.22808234865819704,-0.043766914513864746,-0.006182800983772059,0.27223837586209,-0.3679852567987978,-0.7614412462959902,-0.7383283600244913,-0.5763737913041154,-0.7480952550484755,-0.24665236087977901,-0.2858108337453025,0.15858091965150117,0.596
